[INFO] [1489093972.542382]: [RosColorDepth] Initialized.
[INFO] [1489093982.502386]: FS = 0.070
[INFO] [1489093989.170670]: FS = 0.066
[INFO] [1489093995.843069]: FS = 0.066
[INFO] [1489094002.499629]: FS = 0.066
[INFO] [1489094009.162018]: FS = 0.065
[INFO] [1489094015.836509]: FS = 0.065
[INFO] [1489094022.495209]: FS = 0.066
[INFO] [1489094029.165794]: FS = 0.066
[INFO] [1489094035.833318]: FS = 0.065
[INFO] [1489094042.491602]: FS = 0.065
[INFO] [1489094049.155782]: FS = 0.065
[INFO] [1489094055.825366]: FS = 0.065
[INFO] [1489094062.494909]: FS = 0.066
[INFO] [1489094069.125536]: FS = 0.066
[INFO] [1489094075.793956]: FS = 0.066
[INFO] [1489094082.455004]: FS = 0.066
[INFO] [1489094089.122345]: FS = 0.066
[INFO] [1489094095.750919]: FS = 0.066
[INFO] [1489094102.376633]: FS = 0.066
[INFO] [1489094109.047863]: FS = 0.067
[INFO] [1489094115.714908]: FS = 0.066
[INFO] [1489094122.346522]: FS = 0.066
[INFO] [1489094129.007678]: FS = 0.066
[INFO] [1489094135.678261]: FS = 0.066
[INFO] [1489094142.348445]: FS = 0.066
[INFO] [1489094149.009241]: FS = 0.066
[INFO] [1489094155.673594]: FS = 0.065
[INFO] [1489094162.315496]: FS = 0.066
[INFO] [1489094168.970831]: FS = 0.066
[INFO] [1489094175.641378]: FS = 0.066
[INFO] [1489094182.304319]: FS = 0.066
[INFO] [1489094188.967405]: FS = 0.065
[INFO] [1489094195.633909]: FS = 0.065
[INFO] [1489094202.290565]: FS = 0.065
[INFO] [1489094208.964083]: FS = 0.066
[INFO] [1489094215.626000]: FS = 0.066
[INFO] [1489094222.291090]: FS = 0.066
[INFO] [1489094228.959984]: FS = 0.066
[INFO] [1489094235.626339]: FS = 0.067
[INFO] [1489094242.292560]: FS = 0.066
[INFO] [1489094248.960133]: FS = 0.067
[INFO] [1489094255.623363]: FS = 0.067
[INFO] [1489094262.288114]: FS = 0.067
[INFO] [1489094268.955683]: FS = 0.066
[INFO] [1489094275.616553]: FS = 0.066
[INFO] [1489094282.291349]: FS = 0.067
[INFO] [1489094288.951350]: FS = 0.067
[INFO] [1489094295.580983]: FS = 0.067
[INFO] [1489094302.248282]: FS = 0.066
[INFO] [1489094308.917505]: FS = 0.066
[INFO] [1489094315.575752]: FS = 0.066
[INFO] [1489094322.242176]: FS = 0.066
[INFO] [1489094328.907348]: FS = 0.066
[INFO] [1489094335.594681]: FS = 0.067
[INFO] [1489094342.237787]: FS = 0.066
