[rosmaster.master][INFO] 2017-03-09 13:41:48,609: +PARAM [/camera/driver/depth_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:41:48,611: +PARAM [/camera/driver/depth_width] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:41:48,612: +PARAM [/mavros/safety_area/p1/z] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:41:48,614: +PARAM [/mavros/safety_area/p1/y] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:41:48,615: +PARAM [/mavros/safety_area/p1/x] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:41:48,616: +PARAM [/mavros/global_position/tf/send] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:41:48,618: +PARAM [/mavros/vision_pose/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:41:48,620: +SUB [/rosout] /rosout http://10.42.0.1:42577/
[rosmaster.master][INFO] 2017-03-09 13:41:48,620: +PARAM [/mavros/vibration/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:41:48,622: +PARAM [/mavros/safety_area/p2/y] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:41:48,622: +PARAM [/mavros/safety_area/p2/z] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:41:48,622: +PARAM [/mavros/imu/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:41:48,623: +PARAM [/mavros/time/time_ref_source] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:41:48,623: +PARAM [/mavros/tdr_radio/low_rssi] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:41:48,623: +PARAM [/camera/driver/enable_ir2] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:41:48,624: +PARAM [/mavros/px4flow/ranger_max_range] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:41:48,624: +PARAM [/mavros/global_position/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:41:48,624: +PARAM [/camera/driver/mode] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:41:48,624: +PARAM [/mavros/mission/pull_after_gcs] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:41:48,625: +PARAM [/SEGMENT_DURATION_SEC] by /roslaunch
