[INFO] [1489095711.198290]: [RosColorDepth] Initialized.
[INFO] [1489095720.293809]: FS = 0.066
[INFO] [1489095726.959706]: FS = 0.064
[INFO] [1489095733.621975]: FS = 0.065
[INFO] [1489095740.290652]: FS = 0.064
[INFO] [1489095746.956803]: FS = 0.065
[INFO] [1489095753.622320]: FS = 0.065
[INFO] [1489095760.283327]: FS = 0.065
[INFO] [1489095766.948819]: FS = 0.064
[INFO] [1489095773.612472]: FS = 0.065
[INFO] [1489095780.279999]: FS = 0.065
[INFO] [1489095786.949206]: FS = 0.065
[INFO] [1489095793.616343]: FS = 0.066
[INFO] [1489095800.281149]: FS = 0.066
[INFO] [1489095806.946568]: FS = 0.066
[INFO] [1489095813.610505]: FS = 0.066
[INFO] [1489095820.272850]: FS = 0.066
[INFO] [1489095826.937735]: FS = 0.065
[INFO] [1489095833.606944]: FS = 0.067
[INFO] [1489095840.272863]: FS = 0.065
[INFO] [1489095846.930372]: FS = 0.065
[INFO] [1489095853.602930]: FS = 0.066
[INFO] [1489095860.261713]: FS = 0.065
[INFO] [1489095866.933858]: FS = 0.065
[INFO] [1489095873.561070]: FS = 0.065
[INFO] [1489095880.228882]: FS = 0.065
[INFO] [1489095886.862991]: FS = 0.065
[INFO] [1489095893.527066]: FS = 0.065
[INFO] [1489095900.194687]: FS = 0.065
[INFO] [1489095906.829765]: FS = 0.065
[INFO] [1489095913.490599]: FS = 0.065
[INFO] [1489095920.156469]: FS = 0.065
[INFO] [1489095926.821893]: FS = 0.065
[INFO] [1489095933.482849]: FS = 0.065
[INFO] [1489095940.146850]: FS = 0.065
[INFO] [1489095946.815318]: FS = 0.065
[INFO] [1489095953.481357]: FS = 0.065
[INFO] [1489095960.146574]: FS = 0.065
[INFO] [1489095966.812078]: FS = 0.065
[INFO] [1489095973.477379]: FS = 0.065
[INFO] [1489095980.142443]: FS = 0.065
[INFO] [1489095986.808745]: FS = 0.065
[INFO] [1489095993.469469]: FS = 0.065
[INFO] [1489096000.142124]: FS = 0.065
[INFO] [1489096006.806449]: FS = 0.066
[INFO] [1489096013.470783]: FS = 0.065
[INFO] [1489096020.139283]: FS = 0.065
[INFO] [1489096026.801232]: FS = 0.066
[INFO] [1489096033.470725]: FS = 0.065
[INFO] [1489096040.135734]: FS = 0.066
[INFO] [1489096046.800321]: FS = 0.065
[INFO] [1489096053.463346]: FS = 0.065
[INFO] [1489096060.129581]: FS = 0.066
[INFO] [1489096066.792859]: FS = 0.066
[INFO] [1489096073.459467]: FS = 0.065
[INFO] [1489096080.096021]: FS = 0.065
[INFO] [1489096086.756788]: FS = 0.065
[INFO] [1489096093.424819]: FS = 0.065
[INFO] [1489096100.090542]: FS = 0.065
[INFO] [1489096106.756012]: FS = 0.065
[INFO] [1489096113.421514]: FS = 0.065
[INFO] [1489096120.085905]: FS = 0.065
[INFO] [1489096126.750643]: FS = 0.065
[INFO] [1489096133.429566]: FS = 0.065
