[rosmaster.master][INFO] 2017-03-09 10:37:55,906: +PARAM [/mavros/safety_area/p1/z] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:37:55,907: +PARAM [/mavros/safety_area/p1/y] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:37:55,907: +PARAM [/mavros/safety_area/p1/x] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:37:55,907: +PARAM [/mavros/global_position/tf/send] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:37:55,908: +PARAM [/mavros/vision_pose/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:37:55,908: +PARAM [/mavros/vibration/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:37:55,908: +PARAM [/mavros/safety_area/p2/y] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:37:55,909: +PARAM [/mavros/safety_area/p2/z] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:37:55,909: +PARAM [/mavros/imu/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:37:55,909: +PARAM [/mavros/time/time_ref_source] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:37:55,910: +PARAM [/mavros/tdr_radio/low_rssi] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:37:55,910: +PARAM [/camera/driver/enable_ir2] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:37:55,910: +PARAM [/mavros/px4flow/ranger_max_range] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:37:55,911: +PARAM [/mavros/global_position/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:37:55,911: +PARAM [/camera/driver/mode] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:37:55,911: +PARAM [/mavros/mission/pull_after_gcs] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:37:55,911: +PARAM [/SEGMENT_DURATION_SEC] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:37:55,912: +PARAM [/mavros/imu/angular_velocity_stdev] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:37:55,912: +PARAM [/camera/driver/ir_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:37:55,912: +PARAM [/mavros/vision_pose/tf/frame_id] by /roslaunch
